,EPOCH2,Vx,Vy,Vz,W,Np
0,63823852928212.0,-346.1820983886719,-4.247688293457031,0.1437569409608841,24.606372833251953,0.0281720869243145
1,63823853225961.0,-345.2040100097656,-5.7677001953125,-0.9084106683731079,25.352598190307617,0.03238334879279137
2,63823853326255.0,-344.50274658203125,-5.563238143920898,-1.2406682968139648,24.979724884033203,0.03133324533700943
3,63823853426549.0,-343.3895263671875,-5.874839782714844,-0.6101372241973877,25.055988311767578,0.03253524750471115
4,63823853526843.0,-344.04266357421875,-5.7247314453125,-1.36823570728302,25.48795509338379,0.032572004944086075
5,63823853627137.0,-342.54736328125,-6.29237174987793,-0.9454529881477356,25.381010055541992,0.03332223370671272
6,63823853727431.0,-344.3101501464844,-5.306768417358398,-1.7080127000808716,26.02419090270996,0.04009038209915161
7,63823853827725.0,-343.5746154785156,-5.127573013305664,-0.3458910584449768,25.960588455200195,0.033790431916713715
8,63823853924885.0,-344.79168701171875,-6.565898895263672,-2.0381128787994385,25.686704635620117,0.03282701224088669
9,63823854025179.0,-343.94049072265625,-5.741451263427734,-0.8678756952285767,25.55972671508789,0.032964736223220825
10,63823854125473.0,-343.09765625,-4.338113784790039,-0.2894193232059479,25.259143829345703,0.03408840298652649
11,63823854225768.0,-343.2596130371094,-3.959543228149414,-0.2567295432090759,25.910511016845703,0.03377296030521393
12,63823854326062.0,-342.08245849609375,-2.743623733520508,-0.2478620707988739,24.968795776367188,0.034854501485824585
13,63823854426356.0,-341.8629150390625,-4.315240859985352,1.3218085765838623,24.467172622680664,0.03414541855454445
14,63823854526650.0,-343.0980529785156,-3.852579116821289,-0.9666731953620911,25.803787231445312,0.03217710554599762
15,63823854626944.0,-342.20550537109375,-5.329381942749023,-0.5032431483268738,26.149700164794922,0.0320604182779789
16,63823854727238.0,-344.8614807128906,-9.487823486328125,-1.4583919048309326,21.378276824951172,0.04175695404410362
17,63823854827532.0,-340.0234069824219,0.029750823974609375,0.6630703210830688,25.613136291503906,0.03307054936885834
18,63823854927826.0,-340.5177307128906,-0.4490318298339844,0.9562808275222778,24.351144790649414,0.03271372243762016
19,63823855028120.0,-340.1623840332031,-0.8776702880859375,2.142054319381714,24.55681610107422,0.03404077887535095
20,63823855128415.0,-339.7204284667969,-1.8834362030029297,2.037706136703491,23.965572357177734,0.033892832696437836
21,63823855228709.0,-339.97198486328125,-2.535167694091797,0.6288620829582214,24.194700241088867,0.03338680788874626
22,63823855329003.0,-339.7621765136719,-2.417987823486328,0.9787863492965698,24.78322982788086,0.03378843516111374
23,63823855429297.0,-339.4515075683594,-2.4881038665771484,1.1704233884811401,24.22126579284668,0.03440999239683151
24,63823855529591.0,-339.25982666015625,-1.6139583587646484,1.5141029357910156,23.98371124267578,0.0345892608165741
25,63823855629885.0,-340.3620910644531,-1.6306419372558594,0.5249319672584534,26.297054290771484,0.04108788073062897
26,63823855730179.0,-339.88873291015625,-2.9406909942626953,1.5812336206436157,24.145288467407227,0.034069787710905075
27,63823855827339.0,-340.0263671875,-2.496135711669922,1.6264804601669312,24.58770179748535,0.03418857604265213
28,63823855927633.0,-339.74737548828125,-2.141925811767578,2.4662487506866455,23.928762435913086,0.03459111973643303
29,63823856027927.0,-339.6270446777344,-1.709402084350586,1.8445396423339844,26.14618682861328,0.03437057137489319
30,63823856128221.0,-338.4156799316406,-5.799716949462891,-2.053950548171997,22.63433837890625,0.03531484305858612
31,63823856228516.0,-337.43829345703125,-3.6469688415527344,0.25595206022262573,23.958044052124023,0.038149651139974594
32,63823856325676.0,-337.5899963378906,-3.0055198669433594,0.2953353822231293,24.407833099365234,0.03779418766498566
33,63823856425970.0,-336.8891296386719,-2.428609848022461,0.22080324590206146,25.039827346801758,0.038460783660411835
34,63823856526264.0,-337.1236877441406,-1.3392524719238281,0.4236299991607666,24.38216209411621,0.03875758498907089
35,63823856626558.0,-337.7586364746094,-0.7218532562255859,-0.5100482702255249,25.637619018554688,0.04654715210199356
36,63823856726852.0,-337.44354248046875,0.8293685913085938,-0.5666024088859558,99999.8984375,0.036306232213974
37,63823856827146.0,-337.989990234375,-2.703083038330078,-1.6962774991989136,24.278291702270508,0.03899841010570526
38,63823856927440.0,-339.66064453125,-4.846050262451172,-0.8664905428886414,25.13986587524414,0.03437993675470352
39,63823857027734.0,-338.5069885253906,-3.2254257202148438,0.637253999710083,24.766204833984375,0.036132656037807465
40,63823857128029.0,-340.5287780761719,-2.5392608642578125,-1.095017910003662,25.64511489868164,0.030379468575119972
41,63823857228323.0,-341.4964904785156,-3.3627986907958984,-1.34689462184906,24.97527503967285,0.03219794109463692
42,63823857328617.0,-345.1806640625,0.8006343841552734,4.511549472808838,23.482616424560547,0.03375900909304619
43,63823857428911.0,-342.34771728515625,-3.5610694885253906,-0.6855325102806091,24.34431266784668,0.03289627283811569
44,63823857529205.0,-343.8636779785156,-4.163837432861328,-2.7563579082489014,24.45185661315918,0.039327409118413925
45,63823857830087.0,-343.6953430175781,-4.783708572387695,-1.4492675065994263,24.259366989135742,0.03067280538380146
46,63823857930382.0,-342.9224548339844,-4.660980224609375,1.5898609161376953,22.939109802246094,0.03184506669640541
47,63823858030676.0,-343.0507507324219,-4.432229995727539,-0.9732471704483032,24.070409774780273,0.030758414417505264
48,63823858130970.0,-342.61322021484375,-3.615856170654297,-1.6881859302520752,24.82750701904297,0.030249979346990585
49,63823858231264.0,-342.4609069824219,-3.7343807220458984,-0.44111350178718567,24.467283248901367,0.03102211095392704
