,EPOCH,BF1,BGSM(X),BGSM(Y),BGSM(Z),BGSE(X),BGSE(Y),BGSE(Z)
0,63823852800001.5,3.5183773040771484,3.2543764114379883,-1.3307498693466187,0.13083496689796448,3.254377603530884,-1.3106781244277954,0.26481834053993225
1,63823852916395.3,3.5532564640045146,3.25804463624954,-1.4125596761703487,0.12381436564027981,3.2580458283424356,-1.3929181814193725,0.2653803773224325
2,63823853032881.1,3.4566649913787892,3.1568920373916667,-1.4033319711685215,-0.11476235985755698,3.1568923473358192,-1.4077704310417207,0.02633035276085395
3,63823853149826.9,3.3668051242828345,2.930659556388851,-1.6542860448360475,-0.09782096035777557,2.930660033226009,-1.6558039247989675,0.06740617137403287
4,63823853266312.7,3.3590518951415933,2.9516485691070455,-1.5918548107147226,-0.19207356274128418,2.9516485691070455,-1.603051328659059,-0.03349238783121556
5,63823853382798.5,3.30922532081604,2.869102120399475,-1.6446410417556763,-0.11881102435290813,2.8691022396087646,-1.6483475863933563,0.04369743075221777
6,63823853499192.3,3.363152837753303,3.0119196891784705,-1.4742525339126662,-0.25631724298000946,3.0119192123413123,-1.492262876033791,-0.1107872366905266
7,63823853615770.1,3.257712996006054,2.908573114872018,-1.4626239538192898,-0.1167276490479671,2.9085733532905973,-1.4670416891575004,0.02612248864025388
8,63823853732163.9,3.3822254180908176,2.9655267715454072,-1.6130273818969707,-0.20783399045468606,2.965526533126828,-1.6255655288696282,-0.0508998349309092
9,63823853848557.7,3.299971950054169,2.8673274397850013,-1.6260556995868718,-0.1552919469773821,2.8673275947570778,-1.6334534466266672,0.0016523445723530105
10,63823853964951.5,3.3755950927734375,2.7609869241714478,-1.8831294178962708,-0.47458650171756744,2.7609857320785522,-1.9198342561721802,-0.292664498090744
11,63823854081345.3,3.3679462194442045,2.8415282249450162,-1.7939863085746248,-0.2243256591260586,2.8415280699729397,-1.8071744084357715,-0.05320750437678917
12,63823854197739.1,3.3158204078674003,2.907568693161004,-1.5875703573226383,0.14144768416883452,2.907570075988763,-1.5671916723250783,0.29032795429231106
13,63823854314132.9,3.316274392604838,2.9973430037498554,-1.4171615839004594,0.07239049300549905,2.997343969345101,-1.404179382324228,0.20460324883459569
14,63823854430526.7,3.28394577503214,2.947638010978791,-1.3906244277954447,0.4023470491170789,2.947640180587861,-1.3472533345222826,0.5297309041023193
15,63823854546920.5,3.314686119556427,2.958888590335846,-1.4851488173007965,-0.16201049461960793,2.958888530731201,-1.4937598705291748,-0.02442521182820201
16,63823854663590.3,3.274978208541863,2.970889949798574,-1.3768048286438,0.05817917138343351,2.970890760421743,-1.3657067537307703,0.18389419317250733
17,63823854780260.1,3.3203597426414078,3.2583436250686226,-0.4668170467019168,0.4359586834907437,3.2583457708358345,-0.4253057464957333,0.4765290409326467
18,63823854896653.9,3.3077991485595297,3.248875308036767,-0.5790410459041312,0.22532140463591982,3.2488765001296627,-0.5563881099223796,0.27655544281006955
19,63823855013047.7,3.2673949122428225,3.170974302291782,-0.7759228557349122,0.13568244054909984,3.1709752559660984,-0.7606924533844893,0.20446891188618777
20,63823855129441.5,3.3734304904937744,3.2588348388671875,-0.818587064743042,0.29990679025650024,3.258836507797241,-0.7887814044952393,0.3712714612483978
21,63823855245835.3,3.3746007919311207,3.2657464742660087,-0.838529694080392,0.1397523634135906,3.265747427940325,-0.8229998439550774,0.2129041180014827
22,63823855362229.1,3.3558594942093634,3.2559532403946507,-0.7986567556858734,0.15044326484205636,3.2559543609619723,-0.7825070679188423,0.219459521770506
23,63823855478622.9,3.332506275177021,3.2476142764091707,-0.7284127891063688,0.16538211107250395,3.2476153612137053,-0.7114025056362181,0.2276768863200779
24,63823855595016.7,3.378876876831086,3.3267445564270317,-0.5839534878730823,0.09182294458156329,3.326745271682769,-0.5739474773406985,0.14146898984914547
25,63823855711410.5,3.374950647354296,3.262248218059678,-0.8601012229920949,0.08949966356151831,3.262248754501481,-0.849407315254368,0.1621329635381187
26,63823855827804.3,3.3701990365982164,3.2648157358169665,-0.8051686942577333,0.22563443928958662,3.264816927909862,-0.78335560560226,0.2924952656030819
27,63823855944198.1,3.3107916712761143,3.1854386329651336,-0.8460411787032481,0.31379874050609163,3.185440289974258,-0.8169816434382862,0.38312674909821565
28,63823856060591.9,3.256295490264842,3.0845736503600145,-1.0429299116135786,-0.030957005173039086,3.0845740795134566,-1.0419322013856178,0.055110952258048525
29,63823856177077.7,3.27622323036192,3.115558731555967,-0.999266478419165,-0.16804559454315662,3.115558493137388,-1.009648129343843,-0.08594231605524741
30,63823856293471.5,3.273042917251587,3.1747853755950928,-0.7942315936088562,0.049678366631269455,3.1747859716415405,-0.7876223921775818,0.11366523429751396
31,63823856409865.3,3.255653727054571,3.177162444591498,-0.6954910129308669,0.14561843797563545,3.1771633148193112,-0.6816232383251167,0.2007407173514268
32,63823856526259.1,3.2423985004424547,3.1557762145995825,-0.7415813803671748,0.06409776881338093,3.1557766914367407,-0.7341881752013114,0.12253989726305108
33,63823856642652.9,3.2714906930923116,3.20019404888149,-0.658927091956168,0.164984470605829,3.2001950144767357,-0.6439996540546727,0.21601745709774992
34,63823856759046.7,3.291684150695945,3.2709322929383995,-0.35766485929468766,0.09017297402022127,3.270933008194137,-0.34961639344672085,0.11756054311987027
35,63823856875440.5,3.2933236360549927,3.216042697429657,-0.675671249628067,0.21532410010695457,3.2160438895225525,-0.657221719622612,0.2663615718483925
36,63823856991834.3,3.3272712707519836,3.172712993621847,-0.982603871822397,0.197325298190095,3.1727141857147427,-0.9648735404015001,0.2710341453552058
