,B1F1,B1GSM(X),B1GSM(Y),B1GSM(Z),B1RTN(X),B1RTN(Y),B1RTN(Z)
9839,6.720510864257698,-2.17248125076287,6.3552249908446266,-0.16008669733997727,2.1620114803313513,-6.310271072387599,-0.8002344369887864
9840,6.947779464721686,-1.3738549470898476,6.806032180786204,-0.11572157144502336,1.3625837564465364,-6.7618356704713065,-0.8024266004558058
9841,7.014069366455111,-2.3101118564606593,6.543562507629372,-1.016419506073175,2.300262451171963,-6.411257362365682,-1.6710789680482694
9842,6.833992958068848,-2.613330841064453,6.047204494476318,-1.815718650817871,2.6051855087280273,-5.837127685546875,-2.415773391723633
9843,6.6689791679381845,-1.096727752685739,6.553443908691326,-0.5617441177368069,1.0863679170610443,-6.4649347305297065,-1.220827364921552
9844,6.8869201660155985,-4.265852069854546,4.380694103241356,-3.158122825622219,4.261960220336722,-4.04631428718609,-3.581165838241279
9845,6.433959484100491,0.03825971335200189,6.425266742706456,-0.07567218244017967,-0.048933427781142874,-6.384573841095185,-0.7253020286554469
9846,6.7780005455018175,-2.1529040813445515,6.335476398468141,-1.0779302358627918,2.1434716701507037,-6.197751617431757,-1.7113133668900256
9847,6.823892116546631,-1.3054313659667969,6.54145622253418,-1.4344674348831177,1.2960456609725952,-6.36510705947876,-2.087625026702881
9848,6.352749919891325,-2.254470157623695,5.520819664001313,-2.187585258483757,2.247614288330482,-5.275215435027938,-2.7327547550199967
9849,6.251488399505558,-2.4273077487945693,5.016543579101825,-2.816161918639502,2.421982622146619,-4.710256195068684,-3.3069299697869927
9850,6.2062663078308775,-2.803154516220367,5.246770381927546,-1.758931922912222,2.796288204193389,-5.046914100647067,-2.2780576705928937
9851,6.240707492828194,-2.4545962810512174,5.523420715332044,-1.549396538734355,2.4470387458797087,-5.342723941802999,-2.0978915214537786
9852,6.059883117675781,-2.181051015853882,5.059458255767822,-2.517998456954956,2.1753292083740234,-4.782688617706299,-3.0148379802703857
9853,6.117620182037536,-4.962398719787327,3.393424081803182,-1.1268508434292364,4.957940101623263,-3.270852899552234,-1.459750294685119
9854,6.349365615844743,-2.9215497970579896,5.558833217620966,-0.927511441707392,2.913252973556402,-5.441694355011124,-1.4823213815687024
9855,6.35558137893666,-2.255396366119338,5.537763309478656,-2.151856184005735,2.2484743595122825,-5.295719814300433,-2.6988579273223747
9856,6.4064003944395544,-4.582241916656526,3.351774263381725,-2.9669607639311817,4.5798650741577465,-3.0426404953000707,-3.286542892455939
9857,6.7522196769714355,-4.131819725036621,5.043966770172119,-1.7524604797363281,4.125284671783447,-4.848191261291504,-2.2498271465301514
